Date,Daily_New_Cases,Accumulative_Cases,Male,Female,Daily_Recoveries,Accumulative_Recoveries,Active_Cases,Daily _Deaths,Accumulative_Daily_Deaths,Accumulative_Non_Covid_Deaths,Learners_infected,Total_tests_Conducted
3/14/2020,2,2,1,1,0,0,2,0,0,0,0,0
3/15/2020,0,2,0,0,0,0,2,0,0,0,0,0
3/16/2020,0,2,0,0,0,0,2,0,0,0,0,0
3/17/2020,0,2,0,0,0,0,2,0,0,0,0,0
3/18/2020,0,2,0,0,0,0,2,0,0,0,0,0
3/19/2020,1,3,1,0,0,0,3,0,0,0,0,0
3/20/2020,0,3,0,0,0,0,3,0,0,0,0,0
3/21/2020,0,3,0,0,0,0,3,0,0,0,0,0
3/22/2020,0,3,0,0,0,0,3,0,0,0,0,0
3/23/2020,1,4,1,0,0,0,4,0,0,0,0,0
3/24/2020,2,6,2,0,0,0,6,0,0,0,0,0
3/25/2020,2,8,2,0,0,0,8,0,0,0,0,0
3/26/2020,0,8,0,0,0,0,8,0,0,0,0,0
3/27/2020,0,8,0,0,0,0,8,0,0,0,0,0
3/28/2020,3,11,1,2,1,1,10,0,0,0,0,0
3/29/2020,0,11,0,0,0,1,10,0,0,0,0,0
3/30/2020,0,11,0,0,0,1,10,0,0,0,0,0
3/31/2020,0,11,0,0,0,1,10,0,0,0,0,0
4/1/2020,2,13,1,1,0,1,12,0,0,0,0,306
4/2/2020,1,14,0,1,0,1,13,0,0,0,0,0
4/3/2020,0,14,0,0,0,1,13,0,0,0,0,0
4/4/2020,2,16,2,0,2,3,13,0,0,0,0,0
4/5/2020,0,16,0,0,0,3,13,0,0,0,0,362
4/6/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/7/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/8/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/9/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/10/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/11/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/12/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/13/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/14/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/15/2020,0,16,0,0,0,3,13,0,0,0,0,454
4/16/2020,0,16,0,0,0,3,13,0,0,0,0,0
4/17/2020,0,16,0,0,3,6,10,0,0,0,0,0
4/18/2020,0,16,0,0,0,6,10,0,0,0,0,499
4/19/2020,0,16,0,0,0,6,10,0,0,0,0,524
4/20/2020,0,16,0,0,0,6,10,0,0,0,0,0
4/21/2020,0,16,0,0,0,6,10,0,0,0,0,546
4/22/2020,0,16,0,0,1,7,9,0,0,0,0,0
4/23/2020,0,16,0,0,0,7,9,0,0,0,0,590
4/24/2020,0,16,0,0,0,7,9,0,0,0,0,621
4/25/2020,0,16,0,0,1,8,8,0,0,0,0,675
4/26/2020,0,16,0,0,0,8,8,0,0,0,0,704
4/27/2020,0,16,0,0,0,8,8,0,0,0,0,0
4/28/2020,0,16,0,0,0,8,8,0,0,0,0,765
4/29/2020,0,16,0,0,0,8,8,0,0,0,0,0
4/30/2020,0,16,0,0,0,8,8,0,0,0,0,872
5/1/2020,0,16,0,0,0,8,8,0,0,0,0,928
5/2/2020,0,16,0,0,0,8,8,0,0,0,0,1060
5/3/2020,0,16,0,0,0,8,8,0,0,0,0,1122
5/4/2020,0,16,0,0,0,8,8,0,0,0,0,0
5/5/2020,0,16,0,0,0,8,8,0,0,0,0,1163
5/6/2020,0,16,0,0,1,9,7,0,0,0,0,1181
5/7/2020,0,16,0,0,0,9,7,0,0,0,0,1283
5/8/2020,0,16,0,0,1,10,6,0,0,0,0,0
5/9/2020,0,16,0,0,1,11,5,0,0,0,0,1511
5/10/2020,0,16,0,0,0,11,5,0,0,0,0,1543
5/11/2020,0,16,0,0,0,11,5,0,0,0,0,0
5/12/2020,0,16,0,0,0,11,5,0,0,0,0,1604
5/13/2020,0,16,0,0,1,12,4,0,0,0,0,1768
5/14/2020,0,16,0,0,1,13,3,0,0,0,0,2011
5/15/2020,0,16,0,0,0,13,3,0,0,0,0,0
5/16/2020,0,16,0,0,0,13,3,0,0,0,0,0
5/17/2020,0,16,0,0,0,13,3,0,0,0,0,2381
5/18/2020,0,16,0,0,0,13,3,0,0,0,0,0
5/19/2020,0,16,0,0,0,13,3,0,0,0,0,2434
5/20/2020,2,18,0,2,0,13,5,0,0,0,0,2586
5/21/2020,1,19,1,0,1,14,5,0,0,0,0,2681
5/22/2020,1,20,1,0,0,14,6,0,0,0,0,0
5/23/2020,1,21,1,0,0,14,7,0,0,0,0,2847
5/24/2020,0,21,0,0,0,14,7,0,0,0,0,3027
5/25/2020,0,21,0,0,0,14,7,0,0,0,0,3117
5/26/2020,1,22,1,0,0,14,8,0,0,0,0,3186
5/27/2020,0,22,0,0,0,14,8,0,0,0,0,3201
5/28/2020,1,23,0,1,0,14,9,0,0,0,0,3370
5/29/2020,0,23,0,0,0,14,9,0,0,0,0,3412
5/30/2020,1,24,1,0,0,14,10,0,0,0,0,3545
5/31/2020,1,25,0,1,0,14,11,0,0,0,0,3680
6/1/2020,0,25,0,0,2,16,9,0,0,0,0,3970
6/2/2020,0,25,0,0,0,16,9,0,0,0,0,4005
6/3/2020,0,25,0,0,0,16,9,0,0,0,0,0
6/4/2020,0,25,0,0,0,16,9,0,0,0,0,4217
6/5/2020,4,29,4,0,0,16,13,0,0,0,0,4395
6/6/2020,0,29,0,0,0,16,13,0,0,0,0,4588
6/7/2020,2,31,0,2,0,16,15,0,0,0,0,0
6/8/2020,0,31,0,0,0,16,15,0,0,0,0,4943
6/9/2020,0,31,0,0,1,17,14,0,0,0,0,4970
6/10/2020,0,31,0,0,0,17,14,0,0,0,0,5084
6/11/2020,0,31,0,0,0,17,14,0,0,0,0,5301
6/12/2020,1,32,0,1,0,17,15,0,0,0,0,5514
6/13/2020,0,32,0,0,0,17,15,0,0,0,0,5682
6/14/2020,0,32,0,0,0,17,15,0,0,0,0,5849
6/15/2020,2,34,1,1,0,17,17,0,0,0,0,0
6/16/2020,0,34,0,0,1,18,16,0,0,0,0,5919
6/17/2020,5,39,3,2,1,19,20,0,0,0,0,6106
6/18/2020,6,45,3,3,0,19,26,0,0,0,0,6355
6/19/2020,1,46,0,1,0,19,27,0,0,0,0,6514
6/20/2020,12,58,4,8,0,19,39,0,0,0,0,6837
6/21/2020,5,63,2,3,2,21,42,0,0,0,0,7009
6/22/2020,9,72,3,6,0,21,51,0,0,0,0,7331
6/23/2020,5,77,1,4,0,21,56,0,0,0,0,0
6/24/2020,24,101,10,14,0,21,80,0,0,0,0,7740
6/25/2020,4,105,2,2,1,22,83,0,0,0,0,8014
6/26/2020,15,120,3,12,0,22,98,0,0,0,0,8105
6/27/2020,29,149,10,19,0,22,127,0,0,0,0,8263
6/28/2020,33,182,11,22,2,24,158,0,0,0,0,8706
6/29/2020,20,202,6,14,0,24,178,0,0,0,0,0
6/30/2020,54,256,36,18,0,24,232,0,0,0,0,9118
7/1/2020,36,292,4,32,0,24,268,0,0,0,0,9563
7/2/2020,41,333,18,23,1,25,308,0,0,0,0,9661
7/3/2020,41,374,9,32,0,25,349,0,0,0,0,10283
7/4/2020,37,411,15,22,0,25,386,0,0,0,0,10682
7/5/2020,73,484,36,37,0,25,459,0,0,0,0,0
7/6/2020,54,538,20,34,0,25,513,0,0,0,0,11299
7/7/2020,55,593,48,7,0,25,568,0,0,0,0,0
7/8/2020,22,615,11,11,0,25,590,0,0,0,0,12167
7/9/2020,53,668,28,25,0,25,642,1,1,0,0,12624
7/10/2020,45,713,28,17,0,25,687,0,1,0,0,12789
7/11/2020,72,785,41,31,1,26,758,0,1,0,0,0
7/12/2020,76,861,50,26,2,28,832,0,1,0,0,13999
7/13/2020,3,864,2,1,1,29,833,1,2,0,0,14698
7/14/2020,96,960,51,45,2,31,927,0,2,0,0,15439
7/15/2020,72,1032,39,33,0,31,999,0,2,0,0,16305
7/16/2020,46,1078,23,23,1,32,1044,0,2,0,0,16381
7/17/2020,125,1203,85,40,0,32,1169,0,2,0,0,16838
7/18/2020,44,1247,33,11,3,35,1209,1,3,0,0,17041
7/19/2020,97,1344,80,17,7,42,1298,1,4,0,0,17694
7/20/2020,22,1366,17,5,15,57,1302,3,7,0,0,17994
7/21/2020,36,1402,18,18,7,64,1331,0,7,0,0,18454
7/22/2020,120,1522,84,36,5,69,1446,0,7,0,0,19260
7/23/2020,96,1618,67,29,3,72,1539,0,7,0,0,19782
