Date,Region,Confirmed,Cumulative_Cases,Recovered,Cumulative_Recoveries,Accumulated_Active_Cases,Active_Cases,Accumulated_Deaths,Deaths,Accumulated_Non_Covid_Death,Non_Covid_Death
2020-01-01,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-02,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-03,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-04,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-05,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-06,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-07,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-08,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-09,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-10,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-11,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-12,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-13,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-14,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-15,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-16,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-17,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-18,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-19,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-20,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-21,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-22,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-23,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-24,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-25,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-26,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-27,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-28,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-29,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-30,Erongo,0,0,0,0,0,0,0,0,0,0
2020-01-31,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-01,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-02,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-03,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-04,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-05,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-06,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-07,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-08,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-09,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-10,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-11,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-12,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-13,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-14,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-15,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-16,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-17,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-18,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-19,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-20,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-21,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-22,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-23,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-24,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-25,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-26,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-27,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-28,Erongo,0,0,0,0,0,0,0,0,0,0
2020-02-29,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-01,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-02,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-03,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-04,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-05,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-06,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-07,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-08,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-09,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-10,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-11,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-12,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-13,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-14,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-15,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-16,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-17,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-18,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-19,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-20,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-21,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-22,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-23,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-24,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-25,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-26,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-27,Erongo,0,0,0,0,0,0,0,0,0,0
2020-03-28,Erongo,2,2,0,0,2,2,0,0,0,0
2020-03-29,Erongo,0,2,0,0,2,0,0,0,0,0
2020-03-30,Erongo,0,2,0,0,2,0,0,0,0,0
2020-03-31,Erongo,0,2,0,0,2,0,0,0,0,0
2020-04-01,Erongo,2,4,0,0,4,2,0,0,0,0
2020-04-02,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-03,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-04,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-05,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-06,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-07,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-08,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-09,Erongo,0,4,0,0,4,0,0,0,0,0
2020-04-10,Erongo,0,4,0,0,4,0,0,0,0,0
